bioguide,nominate_dim1,name,birth_date,party,twitter,screen_name
R000575,0.358,Mike Rogers,1958-07-16,Republican,RepMikeRogersAL,repmikerogersal
S001185,-0.393,Terri Sewell,1965-01-01,Democratic,RepTerriSewell,repterrisewell
B001274,0.651,Mo Brooks,1954-04-29,Republican,RepMoBrooks,repmobrooks
P000609,0.702,Gary J. Palmer,1954-05-14,Republican,USRepGaryPalmer,usrepgarypalmer
C001054,0.587,Jerry L. Carl,1958-06-17,Republican,RepJerryCarl,repjerrycarl
M001212,0.676,Barry Moore,1966-09-26,Republican,RepBarryMoore,repbarrymoore
A000055,0.375,Robert B. Aderholt,1965-07-22,Republican,Robert_Aderholt,robert_aderholt
Y000033,0.284,Don Young,1933-06-09,Republican,RepDonYoung,repdonyoung
G000551,-0.598,Raúl M. Grijalva,1948-02-19,Democratic,RepraulGrijalva,repraulgrijalva
K000368,-0.166,Ann Kirkpatrick,1950-03-24,Democratic,RepKirkpatrick,repkirkpatrick
G000565,0.685,Paul A. Gosar,1958-11-22,Republican,RepGosar,repgosar
S001183,0.581,David Schweikert,1962-03-03,Republican,RepDavid,repdavid
G000574,-0.451,Ruben Gallego,1979-11-20,Democratic,RepRubenGallego,reprubengallego
B001302,0.883,Andy Biggs,1958-11-07,Republican,RepAndyBiggsAZ,repandybiggsaz
O000171,-0.193,Tom O’Halleran,1946-01-24,Democratic,repohalleran,repohalleran
L000589,0.6,Debbie Lesko,1958-11-14,Republican,RepDLesko,repdlesko
S001211,-0.319,Greg Stanton,1970-03-08,Democratic,RepGregStanton,repgregstanton
C001087,0.426,"Eric A. ""Rick"" Crawford",1966-01-22,Republican,RepRickCrawford,reprickcrawford
W000809,0.353,Steve Womack,1957-02-18,Republican,Rep_SteveWomack,rep_stevewomack
H001072,0.447,J. Hill,1956-12-05,Republican,RepFrenchHill,repfrenchhill
W000821,0.552,Bruce Westerman,1967-11-18,Republican,RepWesterman,repwesterman
P000197,-0.49,Nancy Pelosi,1940-03-26,Democratic,SpeakerPelosi,speakerpelosi
S001150,-0.35,Adam B. Schiff,1960-06-22,Democratic,RepAdamSchiff,repadamschiff
I000056,0.501,Darrell Issa,1953-11-01,Republican,,
N000181,0.45,Devin Nunes,1973-10-01,Republican,RepDevinNunes,repdevinnunes
S001156,-0.508,Linda T. Sánchez,1969-01-28,Democratic,RepLindaSanchez,replindasanchez
C001059,-0.192,Jim Costa,1952-04-13,Democratic,RepJimCosta,repjimcosta
M001163,-0.434,Doris O. Matsui,1944-09-25,Democratic,DorisMatsui,dorismatsui
M001166,-0.263,Jerry McNerney,1951-06-18,Democratic,RepMcNerney,repmcnerney
M001165,0.455,Kevin McCarthy,1965-01-26,Republican,GOPLeader,gopleader
S001175,-0.38,Jackie Speier,1950-05-14,Democratic,RepSpeier,repspeier
M001177,0.714,Tom McClintock,1956-07-10,Republican,RepMcClintock,repmcclintock
C001080,-0.488,Judy Chu,1953-07-07,Democratic,RepJudyChu,repjudychu
G000559,-0.309,John Garamendi,1945-01-24,Democratic,RepGaramendi,repgaramendi
B001270,-0.585,Karen Bass,1953-10-03,Democratic,RepKarenBass,repkarenbass
L000578,0.536,Doug LaMalfa,1960-07-02,Republican,RepLaMalfa,replamalfa
H001068,-0.427,Jared Huffman,1964-02-18,Democratic,RepHuffman,rephuffman
B001287,-0.234,Ami Bera,1965-03-02,Democratic,RepBera,repbera
S001193,-0.365,Eric Swalwell,1980-11-16,Democratic,RepSwalwell,repswalwell
V000129,0.256,David G. Valadao,1977-04-14,Republican,,
B001285,-0.287,Julia Brownley,1952-08-28,Democratic,RepBrownley,repbrownley
C001097,-0.384,Tony Cárdenas,1963-03-31,Democratic,RepCardenas,repcardenas
R000599,-0.244,Raul Ruiz,1972-08-25,Democratic,RepRaulRuizMD,repraulruizmd
T000472,-0.464,Mark Takano,1960-12-10,Democratic,RepMarkTakano,repmarktakano
L000579,-0.451,Alan S. Lowenthal,1941-03-08,Democratic,RepLowenthal,replowenthal
V000130,-0.4,Juan Vargas,1961-03-07,Democratic,RepJuanVargas,repjuanvargas
P000608,-0.182,Scott H. Peters,1958-06-17,Democratic,RepScottPeters,repscottpeters
D000623,-0.531,Mark DeSaulnier,1952-03-31,Democratic,RepDeSaulnier,repdesaulnier
A000371,-0.294,Pete Aguilar,1979-06-19,Democratic,reppeteaguilar,reppeteaguilar
L000582,-0.374,Ted Lieu,1969-03-29,Democratic,RepTedLieu,reptedlieu
T000474,-0.362,Norma J. Torres,1965-04-04,Democratic,NormaJTorres,normajtorres
B001300,-0.515,Nanette Diaz Barragán,1976-09-15,Democratic,RepBarragan,repbarragan
C001112,-0.302,Salud O. Carbajal,1964-11-18,Democratic,RepCarbajal,repcarbajal
C001110,-0.28,J. Luis Correa,1958-01-24,Democratic,reploucorrea,reploucorrea
K000389,-0.569,Ro Khanna,1976-09-13,Democratic,RepRoKhanna,reprokhanna
P000613,-0.308,Jimmy Panetta,1969-10-01,Democratic,RepJimmyPanetta,repjimmypanetta
G000585,-0.584,Jimmy Gomez,1974-11-25,Democratic,RepJimmyGomez,repjimmygomez
H001090,-0.38,Josh Harder,1986-08-01,Democratic,RepJoshHarder,repjoshharder
L000593,-0.374,Mike Levin,1978-10-28,Democratic,RepMikeLevin,repmikelevin
P000618,-0.185,Katie Porter,1974-01-03,Democratic,RepKatiePorter,repkatieporter
G000061,0.38,Mike Garcia,1976-04-24,Republican,repmikegarcia,repmikegarcia
J000305,-0.301,Sara Jacobs,1989-02-01,Democratic,RepSaraJacobs,repsarajacobs
K000397,0.263,Young Kim,1962-10-18,Republican,RepYoungKim,repyoungkim
O000019,0.294,Jay Obernolte,1970-08-18,Republican,JayObernolte,jayobernolte
S001135,0.328,Michelle Steel,1955-06-21,Republican,RepSteel,repsteel
W000187,-0.653,Maxine Waters,1938-08-15,Democratic,RepMaxineWaters,repmaxinewaters
E000215,-0.381,Anna G. Eshoo,1942-12-13,Democratic,RepAnnaEshoo,repannaeshoo
R000486,-0.469,Lucille Roybal-Allard,1941-06-12,Democratic,RepRoybalAllard,reproybalallard
C000059,0.35,Ken Calvert,1953-06-08,Republican,KenCalvert,kencalvert
L000397,-0.402,Zoe Lofgren,1947-12-21,Democratic,RepZoeLofgren,repzoelofgren
S000344,-0.342,Brad Sherman,1954-10-24,Democratic,BradSherman,bradsherman
L000551,-0.682,Barbara Lee,1946-07-16,Democratic,RepBarbaraLee,repbarbaralee
T000460,-0.395,Mike Thompson,1951-01-24,Democratic,RepThompson,repthompson
N000179,-0.448,Grace F. Napolitano,1936-12-04,Democratic,GraceNapolitano,gracenapolitano
L000564,0.676,Doug Lamborn,1954-05-24,Republican,RepDLamborn,repdlamborn
P000593,-0.282,Ed Perlmutter,1953-05-01,Democratic,RepPerlmutter,repperlmutter
B001297,0.727,Ken Buck,1959-02-16,Republican,RepKenBuck,repkenbuck
C001121,-0.279,Jason Crow,1979-03-15,Democratic,RepJasonCrow,repjasoncrow
N000191,-0.433,Joe Neguse,1984-05-13,Democratic,RepJoeNeguse,repjoeneguse
B000825,0.787,Lauren Boebert,1986-12-15,Republican,RepBoebert,repboebert
D000197,-0.431,Diana DeGette,1957-07-29,Democratic,RepDianaDeGette,repdianadegette
C001069,-0.344,Joe Courtney,1953-04-06,Democratic,RepJoeCourtney,repjoecourtney
H001047,-0.242,James A. Himes,1966-07-05,Democratic,JAHimes,jahimes
H001081,-0.365,Jahana Hayes,1973-03-08,Democratic,RepJahanaHayes,repjahanahayes
D000216,-0.415,Rosa L. DeLauro,1943-03-02,Democratic,RosaDeLauro,rosadelauro
L000557,-0.397,John B. Larson,1948-07-22,Democratic,RepJohnLarson,repjohnlarson
B001303,-0.334,Lisa Blunt Rochester,1962-02-10,Democratic,RepLBR,replbr
D000600,0.281,Mario Diaz-Balart,1961-09-25,Republican,MarioDB,mariodb
W000797,-0.42,Debbie Wasserman Schultz,1966-09-27,Democratic,RepDWStweets,repdwstweets
